station_name_en,area,priority_group,facility_type,score_pct
Tai Po Market,Tai Po,High,System Accessibility,20.51282051282051
Tai Wo,Tai Po,High,System Accessibility,25.64102564102564
Fanling,North,Medium,System Accessibility,41.02564102564102
Sheung Shui,North,High,System Accessibility,28.205128205128204
Lo Wu,North,Low,System Accessibility,33.33333333333333
Lok Ma Chau,Yuen Long,Low,System Accessibility,33.33333333333333
East Tsim Sha Tsui,Yau Tsim Mong,Medium,System Accessibility,46.15384615384615
Sai Ying Pun,Central and Western,Medium,System Accessibility,33.33333333333333
HKU,Central and Western,Medium,System Accessibility,33.33333333333333
Kennedy Town,Central and Western,Low,System Accessibility,33.33333333333333
Ho Man Tin,Kowloon City,Medium,System Accessibility,33.33333333333333
Whampoa,Kowloon City,Medium,System Accessibility,33.33333333333333
Ocean Park,Southern,High,System Accessibility,33.33333333333333
Wong Chuk Hang,Southern,High,System Accessibility,33.33333333333333
Lei Tung,Southern,High,System Accessibility,33.33333333333333
South Horizons,Southern,High,System Accessibility,25.64102564102564
Hin Keng,Sha Tin,Low,System Accessibility,28.205128205128204
Kai Tak,Kowloon City,Medium,System Accessibility,25.64102564102564
Sung Wong Toi,Kowloon City,Medium,System Accessibility,46.15384615384615
To Kwa Wan,Kowloon City,Medium,System Accessibility,33.33333333333333
Exhibition Centre,Wan Chai,Medium,System Accessibility,33.33333333333333
Che Kung Temple,Sha Tin,Medium,System Accessibility,33.33333333333333
Sha Tin Wai,Sha Tin,Low,System Accessibility,20.51282051282051
City One,Sha Tin,Low,System Accessibility,20.51282051282051
Shek Mun,Sha Tin,Low,System Accessibility,20.51282051282051
Tai Shui Hang,Sha Tin,Low,System Accessibility,25.64102564102564
Heng On,Sha Tin,Low,System Accessibility,20.51282051282051
Ma On Shan,Sha Tin,Low,System Accessibility,20.51282051282051
Wu Kai Sha,Sha Tin,Low,System Accessibility,33.33333333333333
Austin,Yau Tsim Mong,Medium,System Accessibility,33.33333333333333
Tsuen Wan West,Tsuen Wan,High,System Accessibility,25.64102564102564
Kam Sheung Road,Yuen Long,Medium,System Accessibility,28.205128205128204
Yuen Long,Yuen Long,Medium,System Accessibility,46.15384615384615
Long Ping,Yuen Long,Medium,System Accessibility,33.33333333333333
Tin Shui Wai,Yuen Long,Medium,System Accessibility,46.15384615384615
Siu Hong,Tuen Mun,High,System Accessibility,41.02564102564102
Tuen Mun,Tuen Mun,High,System Accessibility,33.33333333333333
